label,value
"LEX - Lexington/Frankfort, Kentucky, (United States)",LEX
"LFT - Lafayette, Louisiana, USA (United States)",LFT
"LFW - Lome, Togo (Togo)",LFW
"LGA - New York, New York, USA (United States)",LGA
"LGB - Long Beach, California, USA (United States)",LGB
"LGW - London, England, Uk (United Kingdom)",LGW
"LHR - London, England, Uk (United Kingdom)",LHR
"LIH - Lihue, Kauai, Hawaii, USA (United States)",LIH
"LIL - Lille, France (France)",LIL
"LIM - Lima, Peru (Peru)",LIM
"LIR - Liberia, Costa Rica (Costa Rica)",LIR
"LIS - Lisbon, Portugal (Portugal)",LIS
"LIT - Little Rock, Arkansas, USA (United States)",LIT
"LJU - Ljubljana, Slovenia (Slovenia)",LJU
"LMM - Los Mochis, Mexico (Mexico)",LMM
"LNK - Lincoln, Nebraska, USA (United States)",LNK
"LOS - Lagos, Nigeria (Nigeria)",LOS
"LRD - Laredo, Texas, USA (United States)",LRD
"LRT - Lorient, France (France)",LRT
"LSE - La Crosse, Wisconsin, USA (United States)",LSE
"LUX - Luxembourg, Luxembourg (Luxembourg)",LUX
"LWB - Greenbrier, West Virginia, USA (United States)",LWB
"LWS - Lewiston, Idaho, USA (United States)",LWS
"LYH - Lynchburg, Virginia, USA (United States)",LYH
"LYS - Lyon, France (France)",LYS
"MAD - Madrid, Spain (Spain)",MAD
"MAF - Midland/Odessa, Texas, USA (United States)",MAF
"MAN - Manchester, England, (U.K.) (United Kingdom)",MAN
"MAO - Manaus, Brazil (Brazil)",MAO
"MBJ - Montego Bay, Jamaica (Jamaica)",MBJ
"MBS - Saginaw, Michigan, USA (United States)",MBS
"MCI - Kansas City, Missouri, USA (United States)",MCI
"MCO - Orlando, Florida, USA (United States)",MCO
"MCW - Mason City, Iowa, USA (United States)",MCW
"MDT - Harrisburg, Pennsylvania, USA (United States)",MDT
"MDW - Chicago, Illinois, USA (United States)",MDW
"MEI - Meridian, Mississippi, USA (United States)",MEI
"MEM - Memphis, Tennessee, USA (United States)",MEM
"MEX - Mexico City, Mexico (Mexico)",MEX
"MFE - Mission/Mcallen, Texas, USA (United States)",MFE
